#tags						#national ideas
MR1 = "countries/Minotaur Realm.txt"
CG1 = "countries/Centipede Girl Realm.txt"
SR1 = "countries/Sables Realm.txt"
BR1 = "countries/Bandersnatch Realm.txt"
PT1 = "countries/Puppeteer Tower.txt"
TR1 = "countries/Tarantula Realm.txt"
MM1 = "countries/Mountain Minotaurs.txt"
FS1 = "countries/Forest of Spirits.txt"
WR1 = "countries/Watermelon Realm.txt"
HM1 = "countries/Haunted Mansion.txt"
PM1 = "countries/Port Marle.txt"
SC1 = "countries/Scorpion Realm.txt"
GG1 = "countries/Genie Girl Realm.txt"
SA1 = "countries/Sabasa.txt"
CG2 = "countries/Cobra Girl Realm.txt"
NR1 = "countries/Nefertiti Realm.txt"
MG1 = "countries/Mummy Girl Realm.txt"
PY1 = "countries/The Pyramid.txt"
OG1 = "countries/Ostrich Girl Realm.txt"
CG3 = "countries/Cactus Girl Realm.txt"
AR1 = "countries/Alligator Realm.txt"
GR1 = "countries/Grandeur.txt"
DF1 = "countries/Don Father Domain.txt"
DH1 = "countries/Devil Hunter Realm.txt"
DH2 = "countries/Devil Hunter Coast.txt"
MV1 = "countries/Magistea Village.txt"
TM1 = "countries/Tower of Magic.txt"
DR1 = "countries/Dodomeki Realm.txt"
AR2 = "countries/Ashidaka Realm.txt"
SB2 = "countries/Scale Bandits.txt"
SA2 = "countries/Saloon.txt"
MR2 = "countries/Mirage Realm.txt"
SG2 = "countries/Sandworm Girl Realm.txt"
DS1 = "countries/Desert Scylla Realm.txt"
AT1 = "countries/Antlion Girl Realm.txt"
SR2 = "countries/Safar Ruins.txt"
VA1 = "countries/Vetala Apoptosis.txt"
VA2 = "countries/Vitae Apoptosis.txt"
SH1 = "countries/Shinifa Apoptosis.txt"
VA3 = "countries/Valto Apoptosis.txt"
SH2 = "countries/Shadow Realm.txt"
PA1 = "countries/Paintgeist Realm.txt"
JD1 = "countries/Junk Doll Realm.txt"
CG4 = "countries/Chimera Homunculus Realm.txt"
WT1 = "countries/World Tree.txt"
SI2 = "countries/Sheep Island.txt"
NA1 = "countries/The Navy.txt"
FP1 = "countries/Fishy Pirates.txt"
DR2 = "countries/Dagon Realm.txt"
HI1 = "countries/Hitodama Realm.txt"
GR2 = "countries/Grand Noah.txt"
FI1 = "countries/Finoa.txt"
FR1 = "countries/Frog Coast.txt"
FR2 = "countries/Frog Girl Realm.txt"
FR3 = "countries/Blue Frog Realm.txt"
FR4 = "countries/Red Frog Realm.txt"
AL1 = "countries/Alraune Coast.txt"
AL2 = "countries/Alraune Realm.txt"
AL3 = "countries/Alraune Mountains.txt"
CN1 = "countries/Centaur Mountains.txt"
CN2 = "countries/Noah Centaurs.txt"
HK1 = "countries/Hakoiri Realm.txt"
HK2 = "countries/Hakoiri Plains.txt"
YK1 = "countries/Yuki-Onna Realm.txt"
NR2 = "countries/Nure-Onna Realm.txt"
SP1 = "countries/Spirit Girl Realm.txt"
YE1 = "countries/Samurai Elves.txt"
YE2 = "countries/Kunoichi Elves.txt"
YE3 = "countries/Yamatai Elves.txt"
KP1 = "countries/Kappa Caverns.txt"
ME1 = "countries/Mephisto Domain.txt"
NE1 = "countries/Nekomata Realm.txt"
NE2 = "countries/Nekomata Coast.txt"
FT1 = "countries/Futakuchi Realm.txt"
AK1 = "countries/Akaname Realm.txt"
AK2 = "countries/Akaname Fields.txt"
KE1 = "countries/Kejourou Realm.txt"
SM1 = "countries/Spider Miko Realm.txt"
OR1 = "countries/Orochi Domain.txt"
YM1 = "countries/Yamatai Village.txt"
SP2 = "countries/Spirit Woods.txt"
NK1 = "countries/Noan Kappas.txt"
OK1 = "countries/Okiku-mushi Realm.txt"
OK2 = "countries/Okiku-mushi Caves.txt"
CD1 = "countries/Cow Demon Domain.txt"
NM1 = "countries/Noan Mimics.txt"
SP3 = "countries/Spirit Plains.txt"
AL4 = "countries/Plansect Village.txt"
RM1 = "countries/Red Mountain.txt"
LE1 = "countries/Leon Village.txt"
RS1 = "countries/Red Slime Realm.txt"
PS1 = "countries/Purple Slime Realm.txt"
GS1 = "countries/Green Slime Realm.txt"
TS1 = "countries/Teal Slime Realm.txt"
GR3 = "countries/Grangold Invasion Force.txt"
LE2 = "countries/Lenore Village.txt"
WK1 = "countries/Western Kappas.txt"
WN1 = "countries/Western Nekomatas.txt"
UN1 = "countries/Undine Spring.txt"
GO1 = "countries/Goddard.txt"
BU1 = "countries/Butterfly Realm.txt"
BU2 = "countries/Butterfly Coast.txt"
BU3 = "countries/Butterfly Drylands.txt"
GR4 = "countries/Grangold.txt"
GO2 = "countries/Goldport.txt"
GH1 = "countries/Ghoul Swamp.txt"
WA1 = "countries/Warmer Swamp.txt"
BR2 = "countries/Brom Coast.txt"
GH2 = "countries/Ghoul Realm.txt"
WA2 = "countries/Warmer Realm.txt"
BR3 = "countries/Brom Realm.txt"
CO1 = "countries/Coral Coast.txt"
ES1 = "countries/Elder Scylla Realm.txt"
ES2 = "countries/Elder Scylla Coast.txt"
AJ1 = "countries/Arch Jelly Coast.txt"
AJ2 = "countries/Arch Jelly Realm.txt"
CO2 = "countries/Coral Realm.txt"
ME2 = "countries/Medusa Coast.txt"
ME3 = "countries/Medusa Realm.txt"
MU1 = "countries/Mud Golem Swamp.txt"
SU1 = "countries/Succubus Village.txt"
DR3 = "countries/Dragon Girl Realm.txt"
DR4 = "countries/Lava Mines.txt"
DE1 = "countries/Demon Scylla Realm.txt"
DE2 = "countries/Demon Lamia Realm.txt"
LS1 = "countries/Lava Girl Realm.txt"
SL1 = "countries/Gold Volcano.txt"
SU2 = "countries/Stray Succubi.txt"
AN1 = "countries/Ant Girl Realm.txt"
SP4 = "countries/Spider Princess Domain.txt"
WI1 = "countries/Wing Harpy Hills.txt"
WI2 = "countries/Wing Harpy Mountains.txt"
FL1 = "countries/Flower Mantis Woods.txt"
FL2 = "countries/Flower Mantis Mountains.txt"
LV1 = "countries/Lady Village.txt"
SM2 = "countries/Scenic Mountain.txt"
HK3 = "countries/Harpy Knight Realm.txt"
GE1 = "countries/Gelatinous Realm.txt"
GE2 = "countries/Gelatinous Coast.txt"
TA1 = "countries/Twinkle Apoptosis.txt"
JA1 = "countries/Jellaila Apoptosis.txt"
RR1 = "countries/Ribo-Ribo Apoptosis.txt"
AA1 = "countries/Amphil Apoptosis.txt"
TI1 = "countries/Tiger Realm.txt"
TI2 = "countries/Tiger Wastelands.txt"
VA4 = "countries/Vampire Coast.txt"
VA5 = "countries/Vampire Wastelands.txt"
YO1 = "countries/Youki Realm.txt"
YO2 = "countries/Youki Mountains.txt"
LC1 = "countries/La Croix Domain.txt"
CH2 = "countries/Chimera Coast.txt"
PB1 = "countries/Polar Bear Realm.txt"
PB2 = "countries/Polar Bear Snowfields.txt"
PB3 = "countries/Polar Bear Coast.txt"
IW1 = "countries/Ice Witch Realm.txt"
IW2 = "countries/Ice Witch Coast.txt"
SH3 = "countries/Snow Heaven.txt"
CR1 = "countries/Cupid Realm.txt"
CR2 = "countries/Cupid Coast.txt"
VR1 = "countries/Valkyrie Realm.txt"
VR2 = "countries/Valkyrie Mountains.txt"
UR1 = "countries/Uranus Realm.txt"
UR2 = "countries/Uranus Mountains.txt"
EL2 = "countries/Eliciel Realm.txt"
EL3 = "countries/Eliciel Mountains.txt"
HR1 = "countries/Heriel Realm.txt"
AR3 = "countries/Alciel Realm.txt"
CB1 = "countries/Chimera Beasts.txt"
FC1 = "countries/Flappy Chimeras.txt"
SC2 = "countries/Spinny Chimeras.txt"
SC3 = "countries/Slimey Chimeras.txt"
ZA1 = "countries/Zombie Angel Chimeras.txt"
IT1 = "countries/Ilias Temple.txt"
WE1 = "countries/Wendigo Icethorn.txt"
WE2 = "countries/Wendigo Frostfang.txt"
WE3 = "countries/Wendigo Winterweil.txt"
MT1 = "countries/Mammoth Tuskstorm.txt"
MT2 = "countries/Mammoth Frostfur.txt"
MT3 = "countries/Mammoth Ivoryborn.txt"
DG1 = "countries/Drowned Ghoul Haunting Swell.txt"
DG2 = "countries/Drowned Ghoul Murky Maidens.txt"
YI1 = "countries/Yeti Iceborn.txt"
YI2 = "countries/Yeti Icethorn.txt"
YI3 = "countries/Yeti Permafrost.txt"
IP1 = "countries/Ice Palace.txt"
SC4 = "countries/South Pole Coven.txt"
PK1 = "countries/Polar Krill Shrimpettes.txt"
PK2 = "countries/Polar Krill Aurora Krills.txt"
SE1 = "countries/Seal Aqua Maidens.txt"
SE2 = "countries/Seal Songstresses.txt"
SE3 = "countries/Seal Selkie Sirens.txt"
SE4 = "countries/Sedna Tide Whisperers.txt"
SE5 = "countries/Sedna Abyss Amazons.txt"
SE6 = "countries/Sedna Deepsea Damsels.txt"
RT1 = "countries/Roach Tower.txt"
KU1 = "countries/Kunoichi Succubi.txt"
KU2 = "countries/Kunoichi Harpies.txt"
KU3 = "countries/Kunoichi Arachnes.txt"
KU4 = "countries/Kunoichi Scyllas.txt"
EL4 = "countries/Horai.txt"
KI1 = "countries/Kitsune village.txt"
TA2 = "countries/Tanuki village.txt"
JK1 = "countries/Jakotsu caves.txt"
JK2 = "countries/Jakotsu coast.txt"
MS1 = "countries/Master Shadow caves.txt"
MS2 = "countries/Master Shadow realm.txt"
EN1 = "countries/Enenra caves.txt"
EN2 = "countries/Enenra coast.txt"
KI2 = "countries/Kirin caves.txt"
KI3 = "countries/Kirin coast.txt"
BS1 = "countries/Basilisk realm.txt"
BS2 = "countries/Basilisk caves.txt"
KY1 = "countries/Kyoryuu realm.txt"
KY2 = "countries/Kyoryuu mountains.txt"
BE1 = "countries/Behemoth realm.txt"
BE2 = "countries/Behemoth caves.txt"
WY1 = "countries/Wyvern realm.txt"
WY2 = "countries/Wyvern mountains.txt"
DM1 = "countries/Demon Monk realm.txt"
DM2 = "countries/Demon Monk coast.txt"
VU1 = "countries/Vouivre realm.txt"
VU2 = "countries/Vouivre mountains.txt"
SM3 = "countries/Succubus Monk realm.txt"
SM4 = "countries/Hellgondo succubi.txt"
SS1 = "countries/Scylla Servant realm.txt"
SS2 = "countries/Hellgondo scyllas.txt"
CE1 = "countries/Grand Centaur realm.txt"
SM5 = "countries/Elder succubi.txt"
KI4 = "countries/Hellgondo kitsunes.txt"
GO3 = "countries/Gouki Oni.txt"
ZO1 = "countries/Zenki Oni.txt"
AE1 = "countries/Aevis realm.txt"
ML1 = "countries/Monster Lord Domain.txt"
SS3 = "countries/Hellgondo Shrine.txt"
KK1 = "countries/Southern Seas Queen.txt"
PO1 = "countries/Northern Seas Queen.txt"
NP1 = "countries/North Pole Coven.txt"
PE1 = "countries/Blizzard Huddle Penguins.txt"
PE2 = "countries/Glacier Feather Penguins.txt"
PE3 = "countries/Aurora Wing Penguins.txt"
PB4 = "countries/Arctic Frost Bears.txt"
PB5 = "countries/Northern Chill Bears.txt"
PB6 = "countries/Icy Sister Bears.txt"
WH1 = "countries/Arctic Crest Whitehorns.txt"
WH2 = "countries/Ivory Antler Whitehorns.txt"
WH3 = "countries/Frozen Whisper Whitehorns.txt"
KR1 = "countries/Blizzard Song Krampus.txt"
KR2 = "countries/Alabaster Antler Krampus.txt"
KR3 = "countries/Frozen Whisper Krampus.txt"
TO1 = "countries/Crystalveil Tsurara-Onna.txt"
TO2 = "countries/Frostbloom Tsurara-Onna.txt"
TO3 = "countries/Frostsong Tsurara-Onna.txt"
RE1 = "countries/Remina.txt"
SQD = "countries/Slime Queen Domain.txt"
LDQ = "countries/Land Dweller Queen Domain.txt"
LQD = "countries/Lich Queen Domain.txt"
AQD = "countries/Alraune Queen Domain.txt"
BQD = "countries/Beast Queen Domain.txt"
SSD = "countries/Succubi Queen Domain.txt"
EL1 = "countries/Elf Queen Domain.txt"
MR3 = "countries/Mermaid Queen Domain.txt"
VA6 = "countries/Vampire Queen Domain.txt"
HQ1 = "countries/Harpy Queen Domain.txt"
IQ1 = "countries/Insect Queen Domain.txt"
DQ1 = "countries/Deep Sea Queen Domain.txt"
LQ1 = "countries/Lamia Queen Domain.txt"
SQ1 = "countries/Scylla Queen Domain.txt"
AD1 = "countries/Adramelech.txt"
SO1 = "countries/Sonyachaos.txt"
XX7 = "countries/Chimera XX-7.txt"
CR3 = "countries/Canceroid Realm.txt"
